x50,I50,x100,I100,x200,I200,x1,I1,x2,I2,x3,I3
0.0063,10.796,0.0071,8.699,0.026,6.968,0.0132,2.0162,0.0126,5.3716,0.0104,2.4104
0.0064,10.72,0.0071,8.866,0.0262,6.949,0.0134,1.998,0.0127,5.3306,0.0104,2.5228
0.0064,10.754,0.0071,8.817,0.0264,7.028,0.0134,2.031,0.0128,5.2407,0.0105,2.6039
0.0064,10.673,0.0071,8.752,0.0266,6.986,0.0135,2.0955,0.0128,5.2499,0.0105,2.6828
0.0065,10.787,0.0071,8.766,0.0268,6.929,0.0135,2.0885,0.0128,5.1304,0.0106,2.7621
0.0065,10.704,0.0071,8.894,0.0269,7.013,0.0136,2.0659,0.0129,5.085,0.0107,2.8987
0.0065,10.711,0.0071,8.848,0.0271,7.085,0.0137,2.1206,0.0129,4.9776,0.0107,3.0427
0.0065,10.725,0.0071,8.81,0.0273,7.127,0.0137,2.1809,0.013,4.9708,0.0108,3.1363
0.0066,10.859,0.0072,8.742,0.0274,7.15,0.0138,2.1786,0.013,4.8676,0.0109,3.2685
0.0066,10.781,0.0073,8.891,0.0276,7.326,0.0138,2.134,0.013,4.815,0.011,3.4091
0.0066,10.846,0.0074,8.946,0.0277,7.439,0.0139,2.1951,0.0131,4.7407,0.011,3.5857
0.0066,10.818,0.0075,9.096,0.0279,7.499,0.014,2.2373,0.0131,4.7392,0.0111,3.684
0.0067,10.89,0.0076,9.032,0.028,7.553,0.014,2.236,0.0131,4.6564,0.0111,3.8622
0.0068,10.891,0.0076,9.087,0.0282,7.821,0.0141,2.2246,0.0131,4.6363,0.0112,4.0004
0.0068,10.918,0.0077,8.991,0.0284,8.026,0.0141,2.2495,0.0131,4.576,0.0113,4.1978
0.0068,10.782,0.0078,8.985,0.0286,8.251,0.0141,2.3038,0.0131,4.5841,0.0113,4.2756
0.0069,10.924,0.0079,8.882,0.0288,8.34,0.0142,2.3011,0.0132,4.5121,0.0114,4.407
0.0069,10.866,0.008,9.036,0.0289,8.637,0.0143,2.2837,0.0132,4.4801,0.0115,4.5517
0.007,10.81,0.008,9.045,0.0291,8.888,0.0143,2.3176,0.0132,4.4511,0.0115,4.6967
0.007,10.614,0.0081,9.002,0.0293,9.128,0.0143,2.3545,0.0132,4.4663,0.0116,4.7789
0.0071,10.73,0.0083,9.016,0.0295,9.215,0.0144,2.3502,0.0132,4.4416,0.0117,4.8421
0.0071,10.567,0.0084,9.219,0.0297,9.439,0.0144,2.3376,0.0132,4.42,0.0117,4.947
0.0071,10.522,0.0084,9.236,0.0298,9.596,0.0145,2.3757,0.0132,4.4152,0.0118,5.0446
0.0072,10.41,0.0085,9.271,0.03,9.672,0.0146,2.3938,0.0132,4.4472,0.0118,5.0909
0.0072,10.482,0.0086,9.282,0.0301,9.708,0.0146,2.3926,0.0132,4.4338,0.0119,5.1525
0.0073,10.383,0.0087,9.377,0.0303,9.758,0.0147,2.3656,0.0132,4.3987,0.0119,5.2066
0.0073,10.394,0.0089,9.297,0.0304,9.829,0.0147,2.4257,0.0132,4.3861,0.012,5.2622
0.0074,10.302,0.0089,9.29,0.0306,9.712,0.0148,2.4387,0.0132,4.4327,0.012,5.3165
0.0074,10.42,0.009,9.105,0.0307,9.565,0.0149,2.4313,0.0132,4.3891,0.0121,5.2658
0.0074,10.474,0.0091,9.175,0.0309,9.567,0.015,2.3989,0.0132,4.369,0.0121,5.3957
0.0075,10.522,0.0092,9.19,0.031,9.514,0.015,2.4633,0.0132,4.3676,0.0122,5.3833
0.0075,10.5,0.0093,9.227,0.0312,9.356,0.0151,2.4566,0.0132,4.4027,0.0122,5.4171
0.0075,10.682,0.0095,9.246,0.0313,8.933,0.0152,2.4238,0.0132,4.3875,0.0123,5.3297
0.0076,10.829,0.0096,9.592,0.0315,8.817,0.0153,2.3774,0.0132,4.3802,0.0123,5.4105
0.0076,10.881,0.0097,9.544,0.0316,8.617,0.0153,2.3976,0.0132,4.3582,0.0124,5.4157
0.0077,10.923,0.0098,9.485,0.0318,8.496,0.0155,2.4354,0.0132,4.4102,0.0124,5.4107
0.0077,11.113,0.0099,9.437,0.0319,8.188,0.0155,2.4109,0.0132,4.3912,0.0125,5.345
0.0077,11.139,0.01,9.617,0.0321,8.062,0.0156,2.3455,0.0132,4.3949,0.0125,5.3811
0.0077,11.206,0.0101,9.659,0.0322,7.899,0.0157,2.3573,0.0132,4.3912,0.0125,5.371
0.0078,11.183,0.0102,9.812,0.0324,7.747,0.0158,2.3899,0.0132,4.4127,0.0126,5.3232
0.0078,11.374,0.0103,9.836,0.0325,7.532,0.0159,2.3502,0.0132,4.3649,0.0126,5.2884
0.0078,11.382,0.0105,10.177,0.0327,7.521,0.0159,2.2668,0.0132,4.3629,0.0126,5.2783
0.0078,11.496,0.0106,10.132,0.0328,7.568,0.016,2.2889,0.0132,4.3535,0.0127,5.2628
0.0079,11.471,0.0107,10.131,0.033,7.491,0.0161,2.3142,0.0132,4.3842,0.0127,5.1721
0.0079,11.688,0.0107,10.25,0.0331,7.416,0.0162,2.2859,0.0132,4.3786,0.0127,5.1031
0.0079,11.714,0.0108,10.696,0.0333,7.478,0.0162,2.1998,0.0132,4.3532,0.0128,5.1075
0.008,11.761,0.0108,10.836,0.0334,7.747,0.0163,2.2372,0.0132,4.357,0.0128,5.0686
0.008,11.722,0.0109,11.474,0.0335,7.768,0.0164,2.2457,0.0132,4.3845,0.0129,5.0099
0.008,11.902,0.011,11.357,0.0336,7.846,0.0164,2.2287,0.0132,4.3644,0.0129,4.9236
0.0081,11.876,0.0112,11.034,0.0337,7.9,0.0165,2.1492,0.0132,4.3415,0.0129,4.9121
0.0081,11.837,0.0113,10.836,0.0339,8.135,0.0165,2.1865,0.0132,4.3111,0.013,4.8772
0.0081,11.763,0.0114,11.209,0.034,8.16,0.0166,2.215,0.0132,4.3583,0.013,4.7992
0.0082,11.922,0.0115,11.59,0.0342,8.258,0.0166,2.1734,0.0132,4.3412,0.013,4.7449
0.0082,11.847,0.0116,12.56,0.0343,8.542,0.0167,2.1627,0.0132,4.3142,0.013,4.7245
0.0083,11.817,0.0117,12.863,0.0345,8.733,0.0168,2.1584,0.0132,4.259,0.0131,4.6948
0.0083,11.761,0.0119,14.432,0.0346,8.92,0.0168,2.179,0.0132,4.3299,0.0131,4.6035
0.0083,11.85,0.012,14.66,0.0348,8.971,0.0168,2.1534,0.0132,4.301,0.0132,4.5435
0.0084,11.818,0.0121,14.124,0.0349,9.189,0.0169,2.1171,0.0132,4.271,0.0132,4.5308
0.0084,11.838,0.0122,13.58,0.0351,9.286,0.0169,2.1349,0.0132,4.2377,0.0132,4.5034
0.0084,11.818,0.0124,13.588,0.0352,9.271,0.017,2.1671,0.0133,4.2112,0.0133,4.4407
0.0085,12.109,0.0125,14.775,0.0353,9.253,0.0171,2.1376,0.0134,4.1165,0.0133,4.3451
0.0086,12.205,0.0127,16.158,0.0355,9.305,0.0171,2.1003,0.0135,3.9397,0.0133,4.3695
0.0086,12.546,0.0129,17.327,0.0356,9.361,0.0171,2.138,0.0136,3.799,0.0133,4.3023
0.0086,12.631,0.013,17.219,0.0357,9.283,0.0172,2.1616,0.0136,3.6035,0.0134,4.2606
0.0087,13.061,0.0132,17.504,0.0358,9.194,0.0172,2.1478,0.0137,3.4304,0.0134,4.1797
0.0087,13.22,0.0134,18.07,0.0359,9.164,0.0173,2.1052,0.0138,3.1296,0.0135,4.1927
0.0088,13.494,0.0135,19.089,0.036,9.17,0.0174,2.162,0.0139,2.9421,0.0135,4.1322
0.0089,13.576,0.0137,19.482,0.0361,8.936,0.0175,2.1766,0.014,2.769,0.0136,4.0645
0.0089,13.991,0.0139,19.599,0.0362,8.802,0.0175,2.1742,0.0141,2.6305,0.0136,3.9852
0.0089,14.095,0.014,19.574,0.0363,8.698,0.0176,2.1419,0.0143,2.4275,0.0136,3.9918
0.009,14.215,0.0142,19.166,0.0364,8.71,0.0177,2.1555,0.0144,2.3152,0.0137,3.9261
0.009,14.221,0.0143,19.356,0.0364,8.534,0.0178,2.2387,0.0145,2.2919,0.0138,3.8619
0.0091,14.372,0.0144,19.697,0.0365,8.463,0.0178,2.2202,0.0146,2.2782,0.0138,3.7706
0.0092,14.409,0.0146,20.489,0.0366,8.375,0.0179,2.2093,0.0147,2.345,0.0139,3.7672
0.0092,14.427,0.0147,20.173,0.0367,8.432,0.018,2.2443,0.0148,2.4055,0.0139,3.6937
0.0093,14.375,0.0149,19.326,0.0367,8.251,0.018,2.3224,0.0149,2.7257,0.014,3.6327
0.0093,14.55,0.015,18.874,0.0368,8.195,0.0181,2.3097,0.015,2.8733,0.0141,3.5414
0.0094,14.73,0.0151,18.644,0.0369,8.1,0.0182,2.2805,0.0151,3.185,0.0141,3.5408
0.0095,15.048,0.0152,18.745,0.037,8.134,0.0183,2.3434,0.0152,3.3804,0.0142,3.5033
0.0095,15.224,0.0153,19.229,0.0371,7.958,0.0183,2.4207,0.0153,3.8118,0.0142,3.4036
0.0096,15.794,0.0154,19.32,0.0372,7.886,0.0184,2.4313,0.0154,4.0028,0.0143,3.3409
0.0097,16.08,0.0155,19.313,0.0372,7.747,0.0185,2.4071,0.0155,4.3943,0.0144,3.3305
0.0098,16.683,0.0156,19.071,0.0373,7.723,0.0186,2.4653,0.0156,4.5784,0.0144,3.2921
0.0098,16.933,0.0157,18.597,0.0374,7.659,0.0186,2.5338,0.0156,5.0211,0.0145,3.2489
0.0099,17.646,0.0158,18.299,0.0375,7.538,0.0187,2.5462,0.0157,5.1584,0.0145,3.1992
0.0099,17.898,0.0159,18.302,0.0375,7.582,0.0188,2.5125,0.0158,5.387,0.0146,3.2569
0.01,18.235,0.0159,18.207,0.0376,7.704,0.0188,2.5909,0.0158,5.4999,0.0147,3.2391
0.0101,18.309,0.016,18.155,0.0376,7.711,0.0189,2.6264,0.0159,5.7462,0.0147,3.2915
0.0101,18.698,0.016,18.003,0.0377,7.677,0.019,2.6187,0.0159,5.8488,0.0148,3.293
0.0102,18.716,0.0161,18.038,0.0378,7.75,0.019,2.6135,0.0159,6.0499,0.0149,3.4329
0.0102,18.797,0.0161,18.058,0.0378,7.852,0.0191,2.6564,0.016,6.1457,0.0149,3.4806
0.0103,18.86,0.0162,18.188,0.0379,7.846,0.0191,2.6899,0.016,6.3643,0.015,3.6115
0.0104,18.999,0.0162,18.33,0.0379,7.834,0.0192,2.6743,0.016,6.4013,0.015,3.659
0.0104,19.177,0.0162,18.489,0.038,7.87,0.0192,2.6534,0.016,6.4517,0.0151,3.856
0.0105,19.377,0.0163,18.361,0.0381,8.075,0.0192,2.7117,0.016,6.4591,0.0151,3.9371
0.0105,19.606,0.0163,18.24,0.0382,8.08,0.0192,2.7269,0.0161,6.5691,0.0152,4.0633
0.0106,19.997,0.0164,18.139,0.0382,8.122,0.0193,2.7095,0.0161,6.5871,0.0152,4.1124
